Year,State,District,Block/Taluka,Location/Site/Village,Latitude,Longitude,pH,EC (µS/cm),CO3 (mg/L),HCO3 (mg/L),Cl (mg/L),F (mg/L),SO4 (mg/L),NO3 (mg/L),PO4 (mg/L),Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),SiO2,TDS,Fe (ppm),As (ppb),U (ppb)
2023,Punjab,Amritsar,,Jagdev Khurd (Dalla),31.907,74.7391,7.58,1233.0,0.0,476.0,92.0,0.61,19.0,2.0,0.0,380.0,96.0,34.0,65.0,14.0,,,1.11,35.9,0.57
2023,Punjab,Amritsar,,Laungo Mahal,31.9059,74.8189,7.96,683.0,0.0,415.0,35.0,0.62,0.0,0.0,0.0,200.0,40.0,24.0,87.0,6.0,,,0.04,54.06,3.77
2023,Punjab,Amritsar,,Makowal,31.9046,74.8904,8.2,412.0,0.0,254.0,21.0,0.56,0.0,0.0,0.0,180.0,32.0,24.0,21.0,7.0,,,0.05,44.44,3.04
2023,Punjab,Amritsar,,Malakpur,31.9534,74.8453,8.2,442.0,0.0,220.0,21.0,0.48,0.0,1.0,0.0,170.0,32.0,22.0,20.0,5.0,,,1.76,35.85,1.04
2023,Punjab,Amritsar,,Ramdas,31.9667,74.9111,8.1,373.0,0.0,238.0,14.0,0.83,0.0,0.0,0.0,110.0,24.0,12.0,47.0,4.0,,,0.05,36.31,0.11
2023,Punjab,Amritsar,,Sarangra (Nawankhuh),31.7927,74.8176,7.9,596.0,0.0,342.0,35.0,0.96,0.0,1.0,0.0,220.0,40.0,29.0,51.0,9.0,,,0.04,2.25,4.88
2023,Punjab,Amritsar,,Sazada,32.0054,74.8987,7.66,972.0,0.0,322.0,135.0,0.65,16.0,0.0,0.0,350.0,56.0,51.0,61.0,6.0,,,6.15,67.26,0.1
2023,Punjab,Amritsar,,Urdhan,74.86,74.86,8.15,455.0,0.0,284.0,14.0,0.76,0.0,0.0,0.0,150.0,40.0,12.0,42.0,7.0,,,0.04,60.03,3.95
2023,Punjab,Amritsar,,Bhindi Saidan,31.811,74.641,7.92,1855.0,0.0,610.0,106.0,1.1,287.0,1.0,0.0,300.0,56.0,39.0,311.0,9.0,,,3.01,24.52,0.11
2023,Punjab,Amritsar,,Boparai Baj Singh,31.6447,74.7393,7.88,1645.0,0.0,622.0,170.0,2.0,46.0,0.0,0.0,250.0,60.0,24.0,250.0,11.0,,,1.12,25.93,39.3
2023,Punjab,Amritsar,,Chogawan,31.7039,74.6651,7.76,1565.0,0.0,644.0,156.0,1.1,104.0,1.0,0.0,360.0,56.0,54.0,221.0,19.0,,,0.07,6.74,22.42
2023,Punjab,Amritsar,,Dala,31.6715,74.5894,8.05,1041.0,0.0,610.0,43.0,1.5,0.0,18.0,0.0,240.0,36.0,36.0,137.0,44.0,,,0.02,4.87,11.91
2023,Punjab,Amritsar,,Jai Ramkot,31.8533,74.673,7.74,850.0,0.0,391.0,64.0,0.63,0.0,0.0,0.0,250.0,59.0,25.0,78.0,6.0,,,0.92,59.18,0.99
2023,Punjab,Amritsar,,Kakar,31.7183,74.5431,7.62,1127.0,0.0,488.0,121.0,0.62,0.0,1.0,0.0,310.0,68.0,34.0,125.0,10.0,,,0.81,36.05,13.44
2023,Punjab,Amritsar,,Kaulowal,31.647,74.6834,7.86,822.0,0.0,439.0,35.0,0.98,11.0,0.0,0.0,280.0,19.0,56.0,68.0,10.0,,,0.79,3.36,8.64
2023,Punjab,Amritsar,,Lelian/Kowe,31.7208,74.5996,7.72,966.0,0.0,427.0,99.0,0.66,0.0,29.0,0.0,320.0,60.0,41.0,94.0,8.0,,,0.6,0.53,8.05
2023,Punjab,Amritsar,,Nurowal,31.7939,74.5871,8.15,388.0,0.0,207.0,21.0,0.72,0.0,0.0,0.0,120.0,28.0,12.0,38.0,5.0,,,0.04,11.19,3.88
2023,Punjab,Amritsar,,Attari,31.6084,74.6042,8.21,595.0,0.0,350.0,43.0,0.94,0.0,0.0,0.0,220.0,56.0,20.0,52.0,8.0,,,0.04,20.75,11.54
2023,Punjab,Amritsar,,Adliwala,31.7298,74.83,7.54,1310.0,0.0,561.0,142.0,0.67,0.0,27.0,0.0,380.0,68.0,51.0,133.0,31.0,,,0.06,5.98,29.7
2023,Punjab,Amritsar,,Jauns (Muhar),31.7887,74.7399,7.91,534.0,0.0,278.0,43.0,0.72,0.0,0.0,0.0,200.0,48.0,19.0,41.0,8.0,,,0.02,3.12,5.98
2023,Punjab,Amritsar,,Jhanjoti,31.7166,74.7491,8.18,533.0,0.0,288.0,35.0,0.69,0.0,0.0,0.0,180.0,37.0,21.0,43.0,8.0,,,0.09,22.08,9.77
2023,Punjab,Amritsar,,Kandowali,31.7813,74.8914,7.9,485.0,0.0,256.0,35.0,0.48,0.0,1.0,0.0,200.0,46.0,21.0,27.0,9.0,,,0.16,2.52,21.28
2023,Punjab,Amritsar,,Jadiala Guru,31.567,75.033,7.9,484.0,0.0,287.0,28.0,0.45,0.0,0.0,0.0,213.0,51.0,21.0,28.0,7.0,,,0.09,1.23,10.23
2023,Punjab,Amritsar,,Amritsar Urban-01,31.597,74.952,7.85,797.0,0.0,476.0,43.0,0.85,0.0,0.0,0.0,200.0,40.0,24.0,112.0,19.0,,,0.04,17.54,33.98
2023,Punjab,Amritsar,,Bundala,31.5391,74.9753,7.72,950.0,0.0,525.0,35.0,1.3,0.0,9.0,0.0,280.0,60.0,32.0,96.0,11.0,,,0.02,1.41,22.56
2023,Punjab,Amritsar,,Manawala,31.6118,74.9691,7.75,1516.0,0.0,513.0,121.0,0.79,167.0,38.0,0.0,380.0,48.0,63.0,190.0,27.0,,,0.03,0.39,40.27
2023,Punjab,Amritsar,,Bhaini Badeshan,31.5461,75.1224,8.9,1152.0,92.0,484.0,58.0,0.65,0.0,32.0,0.0,277.0,17.0,57.0,126.0,98.0,,,0.01,2.74,1.25
2023,Punjab,Amritsar,,Manawala,31.6118,75.9656,8.04,1080.0,0.0,531.0,58.0,1.05,24.0,26.0,0.0,352.0,51.0,54.0,96.0,17.0,,,0.03,0.39,40.27
2023,Punjab,Amritsar,,Dadian,31.7262,74.9732,7.92,698.0,0.0,330.0,35.0,0.85,17.0,4.0,0.0,270.0,60.0,29.0,32.0,9.0,,,3.8,0.48,1.29
